Channel|Offline	49946	249871172	66750331717.86	19691999718.66	29.50
Channel|Online	50054	250273445	66856341348.55	19717124010.95	29.49
Country|Afghanistan	551	2805640	733438568.92	216320500.69	29.49
Country|Albania	521	2747125	735111521.41	213037631.48	28.98
Country|Algeria	520	2494000	674670643.84	198225946.09	29.38
Country|Andorra	535	2640344	653450308.05	195942934.91	29.99
Country|Angola	489	2276264	602591574.94	178155609.15	29.56
Country|Antigua and Barbuda	515	2575779	683379778.57	196563869.12	28.76
Country|Armenia	527	2537161	731143426.34	213881997.99	29.25
Country|Australia	558	2915631	761864176.19	238598455.81	31.32
Country|Austria	521	2538390	737198047.17	215323413.71	29.21
Country|Azerbaijan	551	2761657	741969156.23	215640596.76	29.06
Country|Bahrain	556	2847732	835302930.87	237638193.15	28.45
Country|Bangladesh	545	2807612	747836564.93	222970686.64	29.82
Country|Barbados	510	2547102	739910650.78	213281521.51	28.83
Country|Belarus	539	2666348	736182809.24	211281383.14	28.70
Country|Belgium	540	2744200	746075613.25	213840143.44	28.66
Country|Belize	528	2684666	710896743.60	211511566.81	29.75
Country|Benin	539	2741835	792360672.84	238294599.69	30.07
Country|Bhutan	534	2693025	740602587.72	219748086.79	29.67
Country|Bosnia and Herzegovina	558	2648959	709153300.36	203285007.22	28.67
Country|Botswana	559	2813127	723416026.02	213167174.98	29.47
Country|Brunei	558	2756277	708818714.89	206552073.79	29.14
Country|Bulgaria	569	2844855	759752436.59	223061303.91	29.36
Country|Burkina Faso	522	2534600	697523864.28	204536945.82	29.32
Country|Burundi	546	2742551	753653322.40	224326437.27	29.77
Country|Cambodia	584	2946963	754708565.49	221436490.81	29.34
Country|Cameroon	531	2647953	752817347.42	216533308.76	28.76
Country|Canada	546	2816976	750831129.96	223296610.01	29.74
Country|Cape Verde	547	2673250	736185414.04	216894076.73	29.46
Country|Central African Republic	535	2672690	693906858.88	204095295.85	29.41
Country|Chad	524	2660461	753431515.25	216308878.57	28.71
Country|China	554	2766036	714382534.99	210628220.43	29.48
Country|Comoros	526	2566738	688325497.02	202307637.86	29.39
Country|Costa Rica	556	2792014	764726473.16	222332548.43	29.07
Country|Cote d'Ivoire	575	2811595	693648645.63	214517744.35	30.93
Country|Croatia	556	2857409	745751696.78	220224631.92	29.53
Country|Cuba	540	2749954	770146846.93	219026296.13	28.44
